#C D ratio
0.0000e+00 1.1841023462e-07 1.00000e+00
1.0000e-08 1.1840780345e-07 9.99979e-01
1.2589e-08 1.1840717508e-07 9.99974e-01
1.5849e-08 1.1840638007e-07 9.99967e-01
1.9953e-08 1.1840538838e-07 9.99959e-01
2.5119e-08 1.1840412169e-07 9.99948e-01
3.1623e-08 1.1840253139e-07 9.99935e-01
3.9811e-08 1.1840051384e-07 9.99918e-01
5.0119e-08 1.1839796357e-07 9.99896e-01
6.3096e-08 1.1839471794e-07 9.99869e-01
7.9433e-08 1.1839057922e-07 9.99834e-01
1.0000e-07 1.1838529046e-07 9.99789e-01
1.2589e-07 1.1837861364e-07 9.99733e-01
1.5849e-07 1.1837035327e-07 9.99663e-01
1.9953e-07 1.1836020231e-07 9.99577e-01
2.5119e-07 1.1834795252e-07 9.99474e-01
3.1623e-07 1.1833327274e-07 9.99350e-01
3.9811e-07 1.1831587170e-07 9.99203e-01
5.0119e-07 1.1829438597e-07 9.99022e-01
6.3096e-07 1.1826466114e-07 9.98771e-01
7.9433e-07 1.1822525145e-07 9.98438e-01
1.0000e-06 1.1817692980e-07 9.98030e-01
1.2589e-06 1.1812106880e-07 9.97558e-01
1.5849e-06 1.1804903352e-07 9.96950e-01
1.9953e-06 1.1794053584e-07 9.96033e-01
2.5119e-06 1.1783006259e-07 9.95100e-01
3.1623e-06 1.1768479411e-07 9.93873e-01
3.9811e-06 1.1749742604e-07 9.92291e-01
5.0119e-06 1.1725708221e-07 9.90261e-01
6.3096e-06 1.1696531290e-07 9.87797e-01
7.9433e-06 1.1660604030e-07 9.84763e-01
1.0000e-05 1.1616506708e-07 9.81039e-01
1.2589e-05 1.1560342940e-07 9.76296e-01
1.5849e-05 1.1491640022e-07 9.70494e-01
1.9953e-05 1.1407585209e-07 9.63395e-01
2.5119e-05 1.1303674261e-07 9.54620e-01
3.1623e-05 1.1178601333e-07 9.44057e-01
3.9811e-05 1.1026501010e-07 9.31212e-01
5.0119e-05 1.0846039156e-07 9.15971e-01
6.3096e-05 1.0633261500e-07 8.98002e-01
7.9433e-05 1.0384577307e-07 8.77000e-01
1.0000e-04 1.0099407856e-07 8.52917e-01
1.2589e-04 9.7744043372e-08 8.25470e-01
1.5849e-04 9.4113414766e-08 7.94808e-01
1.9953e-04 9.0117135027e-08 7.61059e-01
2.5119e-04 8.5789353642e-08 7.24510e-01
3.1623e-04 8.1163562793e-08 6.85444e-01
3.9811e-04 7.6295032743e-08 6.44328e-01
5.0119e-04 7.1237123720e-08 6.01613e-01
6.3096e-04 6.6055981693e-08 5.57857e-01
7.9433e-04 6.0809743894e-08 5.13551e-01
1.0000e-03 5.5555921775e-08 4.69182e-01
1.2589e-03 5.0369479614e-08 4.25381e-01
1.5849e-03 4.5290451218e-08 3.82488e-01
1.9953e-03 4.0390192054e-08 3.41104e-01
2.5119e-03 3.5707428687e-08 3.01557e-01
3.1623e-03 3.1287140436e-08 2.64227e-01
3.9811e-03 2.7174366127e-08 2.29493e-01
5.0119e-03 2.3395881384e-08 1.97583e-01
6.3096e-03 1.9963546670e-08 1.68596e-01
7.9433e-03 1.6897062806e-08 1.42699e-01
1.0000e-02 1.4184877632e-08 1.19794e-01
1.2589e-02 1.1824180733e-08 9.98578e-02
1.5849e-02 9.7898177325e-09 8.26771e-02
1.9953e-02 8.0561708653e-09 6.80361e-02
2.5119e-02 6.5974261174e-09 5.57167e-02
3.1623e-02 5.3782056521e-09 4.54201e-02
3.9811e-02 4.3700350102e-09 3.69059e-02
5.0119e-02 3.5394866194e-09 2.98917e-02
6.3096e-02 2.8594441191e-09 2.41486e-02
7.9433e-02 2.3028733666e-09 1.94483e-02
1.0000e-01 1.8603261897e-09 1.57109e-02
