#pC ratio
8.00000e+00 9.99979e-01
7.90001e+00 9.99974e-01
7.80000e+00 9.99967e-01
7.69999e+00 9.99959e-01
7.60000e+00 9.99948e-01
7.50000e+00 9.99935e-01
7.40000e+00 9.99918e-01
7.30000e+00 9.99896e-01
7.20000e+00 9.99869e-01
7.10000e+00 9.99834e-01
7.00000e+00 9.99789e-01
6.90001e+00 9.99733e-01
6.80000e+00 9.99663e-01
6.69999e+00 9.99577e-01
6.60000e+00 9.99474e-01
6.50000e+00 9.99350e-01
6.40000e+00 9.99203e-01
6.30000e+00 9.99022e-01
6.20000e+00 9.98771e-01
6.10000e+00 9.98438e-01
6.00000e+00 9.98030e-01
5.90001e+00 9.97558e-01
5.80000e+00 9.96950e-01
5.69999e+00 9.96033e-01
5.60000e+00 9.95100e-01
5.50000e+00 9.93873e-01
5.40000e+00 9.92291e-01
5.30000e+00 9.90261e-01
5.20000e+00 9.87797e-01
5.10000e+00 9.84763e-01
5.00000e+00 9.81039e-01
4.90001e+00 9.76296e-01
4.80000e+00 9.70494e-01
4.69999e+00 9.63395e-01
4.60000e+00 9.54620e-01
4.50000e+00 9.44057e-01
4.40000e+00 9.31212e-01
4.30000e+00 9.15971e-01
4.20000e+00 8.98002e-01
4.10000e+00 8.77000e-01
4.00000e+00 8.52917e-01
3.90001e+00 8.25470e-01
3.80000e+00 7.94808e-01
3.69999e+00 7.61059e-01
3.60000e+00 7.24510e-01
3.50000e+00 6.85444e-01
3.40000e+00 6.44328e-01
3.30000e+00 6.01613e-01
3.20000e+00 5.57857e-01
3.10000e+00 5.13551e-01
3.00000e+00 4.69182e-01
2.90001e+00 4.25381e-01
2.80000e+00 3.82488e-01
2.69999e+00 3.41104e-01
2.60000e+00 3.01557e-01
2.50000e+00 2.64227e-01
2.40000e+00 2.29493e-01
2.30000e+00 1.97583e-01
2.20000e+00 1.68596e-01
2.10000e+00 1.42699e-01
2.00000e+00 1.19794e-01
1.90001e+00 9.98578e-02
1.80000e+00 8.26771e-02
1.69999e+00 6.80361e-02
1.60000e+00 5.57167e-02
1.50000e+00 4.54201e-02
1.40000e+00 3.69059e-02
1.30000e+00 2.98917e-02
1.20000e+00 2.41486e-02
1.10000e+00 1.94483e-02
1.00000e+00 1.57109e-02
