#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
1 0.00254865 1.71565e-07 0.000163982 1.05499e-08 1.54315e-05 1.93998e-09 9.64488e-05 9.81979e-09 0.00253322 1.69644e-07 6.75334e-05 7.31934e-10 15.5422 0.00803338
2 0.00236806 1.20516e-07 6.72402e-05 3.49246e-10 1.62736e-05 8.34933e-10 4.03525e-05 1.68198e-09 0.00235179 1.21377e-07 2.68877e-05 2.03093e-09 35.218 0.0195712
3 0.00258686 1.84997e-07 6.24045e-05 2.31107e-10 1.67735e-05 1.07331e-09 3.78637e-05 3.71544e-10 0.00257009 1.83921e-07 2.45408e-05 1.4056e-10 41.4531 0.0180885
4 0.00276264 3.0639e-07 5.44374e-05 1.16369e-10 1.71592e-05 9.52245e-10 3.33204e-05 1.63377e-09 0.00274548 3.05445e-07 2.11171e-05 1.51753e-09 50.749 0.0273138
5 0.00292487 1.90561e-07 4.74359e-05 4.89161e-10 1.74948e-05 1.16635e-10 2.92237e-05 8.39433e-10 0.00290737 1.9066e-07 1.82122e-05 3.51346e-10 61.6594 0.0283089
6 0.00306106 2.70699e-08 4.58373e-05 7.16506e-10 1.77882e-05 1.04445e-09 2.84176e-05 2.36873e-09 0.00304327 2.8135e-08 1.74196e-05 1.6526e-09 66.7815 0.0426808
7 0.00318861 8.34386e-08 4.69796e-05 8.3837e-10 1.80796e-05 8.32899e-10 2.9278e-05 1.9071e-09 0.00317053 8.25598e-08 1.77015e-05 1.06888e-09 67.8722 0.0271791
8 0.00330696 1.27236e-07 4.52816e-05 6.47173e-10 1.83161e-05 5.0994e-11 2.83565e-05 1.14677e-09 0.00328864 1.27224e-07 1.69251e-05 4.99741e-10 73.031 0.0262846
9 0.00342293 9.66902e-08 4.49389e-05 8.86245e-10 1.85471e-05 1.22491e-09 2.82599e-05 7.10534e-10 0.00340438 9.79209e-08 1.6679e-05 1.59645e-09 76.1686 0.0326853
10 0.00352942 1.33413e-07 4.31291e-05 2.99039e-10 1.87491e-05 3.67683e-10 2.723e-05 2.79854e-10 0.00351067 1.33068e-07 1.5899e-05 1.99985e-11 81.834 0.0376172
11 0.00363574 7.20434e-08 4.34534e-05 1.2247e-10 1.89785e-05 1.32305e-09 2.75443e-05 1.09419e-09 0.00361676 7.07016e-08 1.59091e-05 1.2156e-09 83.6699 0.0353488
12 0.00372564 2.24662e-07 4.00546e-05 1.44776e-10 1.91809e-05 1.40165e-09 2.54898e-05 7.59031e-10 0.00370646 2.26034e-07 1.45648e-05 9.03526e-10 93.0146 0.0520712
13 0.00382543 5.06019e-08 4.33088e-05 4.01656e-10 1.93575e-05 7.77036e-11 2.76437e-05 7.96635e-10 0.00380607 5.05214e-08 1.56652e-05 1.19787e-09 88.329 0.036046
14 0.00391771 1.78963e-07 3.98403e-05 9.51473e-11 1.95327e-05 2.26855e-10 2.5489e-05 5.61815e-10 0.00389818 1.7918e-07 1.43513e-05 4.66702e-10 98.3355 0.0401218
15 0.00400098 3.31552e-07 4.0847e-05 3.4025e-10 1.96997e-05 8.73115e-10 2.62087e-05 6.47448e-10 0.00398128 3.30628e-07 1.46383e-05 3.07316e-10 97.9507 0.0445754
16 0.00406943 1.44704e-07 4.25906e-05 2.38632e-10 1.98837e-05 8.76847e-12 2.74267e-05 1.06654e-09 0.00404955 1.4475e-07 1.51639e-05 8.28286e-10 95.5477 0.0312526
17 0.00413316 4.64189e-07 4.13054e-05 1.68084e-10 2.00335e-05 3.28046e-10 2.66774e-05 5.83995e-10 0.00411313 4.64552e-07 1.4628e-05 7.5123e-10 100.064 0.0365071
18 0.00419431 1.2805e-07 4.0768e-05 2.13177e-10 2.02043e-05 1.33758e-09 2.63852e-05 6.75067e-10 0.00417411 1.29386e-07 1.43827e-05 8.88089e-10 102.883 0.0363239
19 0.00424341 3.01608e-07 4.25243e-05 2.26978e-10 2.03636e-05 1.95717e-10 2.75749e-05 2.8922e-10 0.00422305 3.0138e-07 1.49494e-05 6.25226e-11 99.7879 0.0375102
20 0.00429768 3.64075e-08 4.04212e-05 3.85357e-10 2.05163e-05 2.46423e-10 2.62926e-05 5.25606e-10 0.00427717 3.61359e-08 1.41286e-05 9.10336e-10 106.323 0.0448818
21 0.00434486 3.09342e-07 4.13945e-05 1.09044e-11 2.06435e-05 1.20029e-10 2.69656e-05 1.28733e-09 0.00432422 3.09461e-07 1.4429e-05 1.27658e-09 104.962 0.0419927
22 0.00440047 3.19425e-07 4.08081e-05 1.29678e-10 2.07897e-05 1.27701e-09 2.66465e-05 8.56865e-10 0.00437968 3.1819e-07 1.41617e-05 7.28014e-10 107.833 0.0419171
23 0.00444377 2.79014e-07 4.17767e-05 1.93268e-11 2.0939e-05 8.91456e-10 2.73408e-05 2.7085e-10 0.00442283 2.79909e-07 1.44358e-05 2.51659e-10 106.37 0.0416389
24 0.00449147 1.90515e-07 4.11927e-05 9.82019e-10 2.10586e-05 1.2623e-09 2.70174e-05 1.94857e-09 0.00447041 1.91756e-07 1.41753e-05 9.66749e-10 109.036 0.043302
25 0.00453351 3.49203e-07 4.0581e-05 1.91409e-10 2.11869e-05 1.19802e-09 2.66571e-05 1.91527e-09 0.00451233 3.47988e-07 1.39239e-05 1.72401e-09 111.715 0.0482733
26 0.00457276 2.5334e-07 4.07544e-05 3.83766e-10 2.13101e-05 9.15878e-11 2.68356e-05 2.33331e-09 0.00455145 2.53435e-07 1.39188e-05 1.94959e-09 112.203 0.0482184
27 0.00460834 2.16779e-07 4.09264e-05 3.07795e-10 2.14684e-05 4.2014e-09 2.69846e-05 8.3877e-10 0.00458687 2.12587e-07 1.39417e-05 1.14639e-09 112.601 0.0391998
28 0.00465044 5.13879e-07 4.10957e-05 2.67116e-10 2.15723e-05 7.49566e-11 2.71557e-05 1.07194e-09 0.00462887 5.13963e-07 1.394e-05 8.04901e-10 113.162 0.0487612
29 0.00468738 2.97239e-07 4.12606e-05 1.76407e-10 2.16837e-05 1.0837e-09 2.73018e-05 3.02741e-10 0.0046657 2.98354e-07 1.39588e-05 1.27125e-10 113.604 0.0396853
30 0.00472302 7.5154e-08 4.22356e-05 1.45042e-10 2.18253e-05 1.82073e-09 2.79905e-05 7.50705e-10 0.00470119 7.33404e-08 1.42451e-05 6.05845e-10 111.826 0.0421941
31 0.00476113 1.00938e-07 4.15818e-05 1.44161e-10 2.1931e-05 8.679e-10 2.76078e-05 3.26079e-10 0.0047392 1.00069e-07 1.3974e-05 1.81976e-10 114.501 0.0347883
32 0.00479908 1.55882e-07 4.17411e-05 9.19172e-10 2.20362e-05 1.63603e-10 2.77484e-05 9.05785e-10 0.00477704 1.55752e-07 1.39928e-05 1.42702e-11 114.973 0.0374932
33 0.00482713 3.02951e-07 4.19056e-05 2.72516e-10 2.21515e-05 1.17389e-09 2.79125e-05 5.91605e-10 0.00480498 3.041e-07 1.39931e-05 8.63903e-10 115.191 0.0447465
34 0.00485831 2.11061e-07 4.20491e-05 8.33588e-11 2.22543e-05 1.49235e-09 2.80453e-05 3.20151e-10 0.00483605 2.09534e-07 1.40038e-05 2.36918e-10 115.539 0.0339855
35 0.00487893 1.61157e-07 4.13679e-05 1.00638e-10 2.23694e-05 2.51743e-09 2.76295e-05 9.28993e-10 0.00485656 1.58637e-07 1.37385e-05 1.02949e-09 117.94 0.0383476
36 0.0049158 6.39238e-08 4.15211e-05 9.22667e-10 2.24997e-05 4.85363e-10 2.77643e-05 2.03154e-09 0.0048933 6.34677e-08 1.37568e-05 1.10992e-09 118.393 0.0453762
