#phi0.144068 Cg
5.50265e-01 0.00000e+00
5.54763e-01 1.17908e-02
5.59260e-01 2.42256e-02
5.63757e-01 3.73224e-02
5.68255e-01 5.11075e-02
5.72752e-01 6.56465e-02
5.77250e-01 8.09167e-02
5.81747e-01 9.70252e-02
5.86244e-01 1.13882e-01
5.90742e-01 1.31518e-01
5.95239e-01 1.50027e-01
5.99736e-01 1.69406e-01
6.04234e-01 1.89662e-01
6.08731e-01 2.10832e-01
6.13228e-01 2.32943e-01
6.17726e-01 2.56003e-01
6.22223e-01 2.80008e-01
6.26720e-01 3.04992e-01
6.31218e-01 3.30979e-01
6.35715e-01 3.57990e-01
6.40212e-01 3.86052e-01
6.44710e-01 4.15157e-01
6.49207e-01 4.45319e-01
6.53704e-01 4.76578e-01
6.58202e-01 5.08950e-01
6.62699e-01 5.42442e-01
6.67196e-01 5.77095e-01
6.71694e-01 6.12929e-01
6.76191e-01 6.49932e-01
6.80688e-01 6.88109e-01
6.85186e-01 7.27502e-01
6.89683e-01 7.68129e-01
6.94181e-01 8.09976e-01
6.98678e-01 8.53043e-01
7.03175e-01 8.97381e-01
7.07673e-01 9.43037e-01
7.12170e-01 9.90031e-01
7.16667e-01 1.03836e+00
7.21165e-01 1.08805e+00
7.25662e-01 1.13916e+00
7.30159e-01 1.19169e+00
7.34657e-01 1.24562e+00
7.39154e-01 1.30091e+00
7.43651e-01 1.35759e+00
7.48149e-01 1.41570e+00
7.52646e-01 1.47530e+00
7.57143e-01 1.53642e+00
7.61641e-01 1.59908e+00
7.66138e-01 1.66327e+00
7.70635e-01 1.72905e+00
7.75133e-01 1.79647e+00
7.79630e-01 1.86556e+00
7.84127e-01 1.93633e+00
7.88625e-01 2.00872e+00
7.93122e-01 2.08271e+00
7.97619e-01 2.15834e+00
8.02117e-01 2.23570e+00
8.06614e-01 2.31481e+00
8.11111e-01 2.39572e+00
8.15609e-01 2.47842e+00
8.20106e-01 2.56289e+00
8.24604e-01 2.64915e+00
8.29101e-01 2.73727e+00
8.33598e-01 2.82733e+00
8.38096e-01 2.91938e+00
8.42593e-01 3.01345e+00
8.47090e-01 3.10954e+00
8.51588e-01 3.20762e+00
8.56085e-01 3.30770e+00
8.60582e-01 3.40987e+00
8.65080e-01 3.51420e+00
8.69577e-01 3.62076e+00
8.74074e-01 3.72959e+00
8.78572e-01 3.84073e+00
8.83069e-01 3.95415e+00
8.87566e-01 4.06980e+00
8.92064e-01 4.18773e+00
8.96561e-01 4.30804e+00
9.01058e-01 4.43081e+00
9.05556e-01 4.55611e+00
9.10053e-01 4.68399e+00
9.14550e-01 4.81446e+00
9.19048e-01 4.94751e+00
9.23545e-01 5.08307e+00
9.28042e-01 5.22117e+00
9.32540e-01 5.36190e+00
9.37037e-01 5.50539e+00
9.41535e-01 5.65174e+00
9.46032e-01 5.80103e+00
9.50529e-01 5.95335e+00
9.55027e-01 6.10873e+00
9.59524e-01 6.26717e+00
9.64021e-01 6.42865e+00
9.68519e-01 6.59324e+00
9.73016e-01 6.76107e+00
9.77513e-01 6.93227e+00
9.82011e-01 7.10694e+00
9.86508e-01 7.28518e+00
9.91005e-01 7.46703e+00
9.95503e-01 7.65252e+00
1.00000e+00 7.84160e+00
