#C D ratio
0.0000e+00 1.1841004967e-07 1.00000e+00
1.0000e-06 1.1817692980e-07 9.98031e-01
1.2589e-06 1.1812106880e-07 9.97559e-01
1.5849e-06 1.1804903352e-07 9.96951e-01
1.9953e-06 1.1794053584e-07 9.96035e-01
2.5119e-06 1.1783006259e-07 9.95102e-01
3.1623e-06 1.1768479411e-07 9.93875e-01
3.9811e-06 1.1749742604e-07 9.92293e-01
5.0119e-06 1.1725708221e-07 9.90263e-01
6.3096e-06 1.1696531290e-07 9.87799e-01
7.9433e-06 1.1660604030e-07 9.84765e-01
1.0000e-05 1.1616506708e-07 9.81041e-01
1.2589e-05 1.1560342940e-07 9.76297e-01
1.5849e-05 1.1491640022e-07 9.70495e-01
1.9953e-05 1.1407585209e-07 9.63397e-01
2.5119e-05 1.1303674261e-07 9.54621e-01
3.1623e-05 1.1178601333e-07 9.44058e-01
3.9811e-05 1.1026501010e-07 9.31213e-01
5.0119e-05 1.0846039156e-07 9.15973e-01
6.3096e-05 1.0633261500e-07 8.98003e-01
7.9433e-05 1.0384577307e-07 8.77001e-01
1.0000e-04 1.0099407856e-07 8.52918e-01
1.2589e-04 9.7744043372e-08 8.25471e-01
1.5849e-04 9.4113414766e-08 7.94809e-01
1.9953e-04 9.0117135027e-08 7.61060e-01
2.5119e-04 8.5789353642e-08 7.24511e-01
3.1623e-04 8.1163562793e-08 6.85445e-01
3.9811e-04 7.6295032743e-08 6.44329e-01
5.0119e-04 7.1237123720e-08 6.01614e-01
6.3096e-04 6.6055981693e-08 5.57858e-01
7.9433e-04 6.0809743894e-08 5.13552e-01
1.0000e-03 5.5555921775e-08 4.69182e-01
1.2589e-03 5.0369479614e-08 4.25382e-01
1.5849e-03 4.5290451218e-08 3.82488e-01
1.9953e-03 4.0390192054e-08 3.41104e-01
2.5119e-03 3.5707428687e-08 3.01557e-01
3.1623e-03 3.1287140436e-08 2.64227e-01
3.9811e-03 2.7174366128e-08 2.29494e-01
5.0119e-03 2.3395881384e-08 1.97584e-01
6.3096e-03 1.9963546670e-08 1.68597e-01
7.9433e-03 1.6897062806e-08 1.42700e-01
1.0000e-02 1.4184877632e-08 1.19795e-01
1.2589e-02 1.1824180733e-08 9.98579e-02
1.5849e-02 9.7898177795e-09 8.26773e-02
1.9953e-02 8.0561708653e-09 6.80362e-02
2.5119e-02 6.5974261174e-09 5.57168e-02
3.1623e-02 5.3782056521e-09 4.54202e-02
3.9811e-02 4.3700350102e-09 3.69059e-02
5.0119e-02 3.5394866194e-09 2.98918e-02
6.3096e-02 2.8594438590e-09 2.41487e-02
7.9433e-02 2.3028735953e-09 1.94483e-02
1.0000e-01 1.8603261897e-09 1.57109e-02
