#pC ratio
6.00000e+00 9.98031e-01
5.90001e+00 9.97559e-01
5.80000e+00 9.96951e-01
5.69999e+00 9.96035e-01
5.60000e+00 9.95102e-01
5.50000e+00 9.93875e-01
5.40000e+00 9.92293e-01
5.30000e+00 9.90263e-01
5.20000e+00 9.87799e-01
5.10000e+00 9.84765e-01
5.00000e+00 9.81041e-01
4.90001e+00 9.76297e-01
4.80000e+00 9.70495e-01
4.69999e+00 9.63397e-01
4.60000e+00 9.54621e-01
4.50000e+00 9.44058e-01
4.40000e+00 9.31213e-01
4.30000e+00 9.15973e-01
4.20000e+00 8.98003e-01
4.10000e+00 8.77001e-01
4.00000e+00 8.52918e-01
3.90001e+00 8.25471e-01
3.80000e+00 7.94809e-01
3.69999e+00 7.61060e-01
3.60000e+00 7.24511e-01
3.50000e+00 6.85445e-01
3.40000e+00 6.44329e-01
3.30000e+00 6.01614e-01
3.20000e+00 5.57858e-01
3.10000e+00 5.13552e-01
3.00000e+00 4.69182e-01
2.90001e+00 4.25382e-01
2.80000e+00 3.82488e-01
2.69999e+00 3.41104e-01
2.60000e+00 3.01557e-01
2.50000e+00 2.64227e-01
2.40000e+00 2.29494e-01
2.30000e+00 1.97584e-01
2.20000e+00 1.68597e-01
2.10000e+00 1.42700e-01
2.00000e+00 1.19795e-01
1.90001e+00 9.98579e-02
1.80000e+00 8.26773e-02
1.69999e+00 6.80362e-02
1.60000e+00 5.57168e-02
1.50000e+00 4.54202e-02
1.40000e+00 3.69059e-02
1.30000e+00 2.98918e-02
1.20000e+00 2.41487e-02
1.10000e+00 1.94483e-02
1.00000e+00 1.57109e-02
