#X h w pH Kernel
0 0.01 1e-12 2 nan
3.33333e-05 1e-10 0.0001 10 10
6.66667e-05 1e-10 0.0001 10 10
0.0001 1e-10 0.0001 10 10
0.000133333 1e-10 0.0001 10 10
0.000166667 1e-10 0.0001 10 10
0.0002 1e-10 0.0001 10 10
0.000233333 1e-10 0.0001 10 10
0.000266667 1e-10 0.0001 10 10
0.0003 1e-10 0.0001 10 10
0.000333333 1e-10 0.0001 10 10
0.000366667 1e-10 0.0001 10 10
0.0004 1e-10 0.0001 10 10
0.000433333 1e-10 0.0001 10 10
0.000466667 1e-10 0.0001 10 10
0.0005 1e-10 0.0001 10 10
0.000533333 1e-10 0.0001 10 10
0.000566667 1e-10 0.0001 10 10
0.0006 1e-10 0.0001 10 10
0.000633333 1e-10 0.0001 10 10
0.000666667 1e-10 0.0001 10 10
0.0007 1e-10 0.0001 10 10
0.000733333 1e-10 0.0001 10 10
0.000766667 1e-10 0.0001 10 10
0.0008 1e-10 0.0001 10 10
0.000833333 1e-10 0.0001 10 10
0.000866667 1e-10 0.0001 10 10
0.0009 1e-10 0.0001 10 10
0.000933333 1e-10 0.0001 10 10
0.000966667 1e-10 0.0001 10 10
0.001 1e-10 0.0001 10 10
0.00103333 1e-10 0.0001 10 10
0.00106667 1e-10 0.0001 10 10
0.0011 1e-10 0.0001 10 10
0.00113333 1e-10 0.0001 10 10
0.00116667 1e-10 0.0001 10 10
0.0012 1e-10 0.0001 10 10
0.00123333 1e-10 0.0001 10 10
0.00126667 1e-10 0.0001 10 10
0.0013 1e-10 0.0001 10 10
0.00133333 1e-10 0.0001 10 10
0.00136667 1e-10 0.0001 10 10
0.0014 1e-10 0.0001 10 10
0.00143333 1e-10 0.0001 10 10
0.00146667 1e-10 0.0001 10 10
0.0015 1e-10 0.0001 10 10
0.00153333 1e-10 0.0001 10 10
0.00156667 1e-10 0.0001 10 10
0.0016 1e-10 0.0001 10 10
0.00163333 1e-10 0.0001 10 10
0.00166667 1e-10 0.0001 10 10
0.0017 1e-10 0.0001 10 10
0.00173333 1e-10 0.0001 10 10
0.00176667 1e-10 0.0001 10 10
0.0018 1e-10 0.0001 10 10
0.00183333 1e-10 0.0001 10 10
0.00186667 1e-10 0.0001 10 10
0.0019 1e-10 0.0001 10 10
0.00193333 1e-10 0.0001 10 10
0.00196667 1e-10 0.0001 10 10
0.002 1e-10 0.0001 10 10
0.00203333 1e-10 0.0001 10 10
0.00206667 1e-10 0.0001 10 10
0.0021 1e-10 0.0001 10 10
0.00213333 1e-10 0.0001 10 10
0.00216667 1e-10 0.0001 10 10
0.0022 1e-10 0.0001 10 10
0.00223333 1e-10 0.0001 10 10
0.00226667 1e-10 0.0001 10 10
0.0023 1e-10 0.0001 10 10
0.00233333 1e-10 0.0001 10 10
0.00236667 1e-10 0.0001 10 10
0.0024 1e-10 0.0001 10 10
0.00243333 1e-10 0.0001 10 10
0.00246667 1e-10 0.0001 10 10
0.0025 1e-10 0.0001 10 10
0.00253333 1e-10 0.0001 10 10
0.00256667 1e-10 0.0001 10 10
0.0026 1e-10 0.0001 10 10
0.00263333 1e-10 0.0001 10 10
0.00266667 1e-10 0.0001 10 10
0.0027 1e-10 0.0001 10 10
0.00273333 1e-10 0.0001 10 10
0.00276667 1e-10 0.0001 10 10
0.0028 1e-10 0.0001 10 10
0.00283333 1e-10 0.0001 10 10
0.00286667 1e-10 0.0001 10 10
0.0029 1e-10 0.0001 10 10
0.00293333 1e-10 0.0001 10 10
0.00296667 1e-10 0.0001 10 10
0.003 1e-10 0.0001 10 10
