#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
1 0.00386738 1.55046e-07 0.000165 6.66663e-09 1.53996e-05 4.05529e-10 9.62623e-05 4.88253e-09 0.00385198 1.54639e-07 6.87372e-05 1.78566e-09 23.4388 0.0126546
2 0.00408422 1.08874e-07 6.81589e-05 3.43653e-10 1.62491e-05 1.31537e-10 4.03261e-05 6.25689e-10 0.00406797 1.09059e-07 2.78327e-05 9.68247e-10 59.9221 0.0285825
3 0.00453898 1.04805e-07 6.34748e-05 7.84968e-10 1.67431e-05 3.60885e-09 3.78449e-05 1.86709e-09 0.00452224 1.01127e-07 2.56299e-05 1.08292e-09 71.5085 0.02803
4 0.00488787 3.81001e-07 5.54885e-05 1.10474e-10 1.71164e-05 9.96257e-10 3.32925e-05 1.78252e-09 0.00487075 3.81976e-07 2.2196e-05 1.67225e-09 88.088 0.0384811
5 0.00519376 1.79637e-07 4.84849e-05 6.73615e-10 1.74661e-05 1.29895e-09 2.92299e-05 6.0265e-10 0.00517629 1.78291e-07 1.9255e-05 1.27556e-09 107.121 0.0417455
6 0.00546035 7.68925e-07 4.69369e-05 7.54047e-10 1.77568e-05 2.90713e-11 2.83824e-05 1.05035e-09 0.0054426 7.69002e-07 1.85545e-05 2.96332e-10 116.334 0.0477348
7 0.0056998 3.46121e-07 4.81833e-05 4.97079e-10 1.80272e-05 1.28022e-09 2.92689e-05 4.61909e-11 0.00568177 3.47498e-07 1.89144e-05 4.5196e-10 118.294 0.0539463
8 0.00592949 1.58988e-07 4.65423e-05 8.92833e-10 1.82694e-05 1.15851e-09 2.83339e-05 5.96421e-10 0.00591122 1.60117e-07 1.82084e-05 1.48891e-09 127.4 0.0521
9 0.00613337 6.02221e-07 4.62769e-05 5.40574e-10 1.85063e-05 1.49617e-10 2.82668e-05 5.63223e-10 0.00611486 6.02003e-07 1.80101e-05 2.27694e-11 132.536 0.0557182
10 0.00631909 5.45984e-07 4.45011e-05 1.74464e-10 1.87303e-05 9.72005e-11 2.72199e-05 1.12853e-11 0.00630036 5.45936e-07 1.72812e-05 1.84759e-10 141.999 0.0484716
11 0.00650287 3.04657e-07 4.486e-05 2.12689e-10 1.89418e-05 7.61245e-11 2.75437e-05 1.99456e-09 0.00648393 3.0479e-07 1.73163e-05 1.78193e-09 144.959 0.0507174
12 0.0066779 4.28808e-07 4.14348e-05 1.66504e-10 1.91264e-05 9.84495e-10 2.54516e-05 1.54942e-10 0.00665877 4.27823e-07 1.59832e-05 3.20314e-10 161.167 0.0519139
13 0.00683613 6.04137e-07 4.47962e-05 4.66653e-10 1.9322e-05 1.15588e-09 2.76439e-05 4.46204e-10 0.00681681 6.05266e-07 1.71522e-05 2.13356e-11 152.606 0.0526026
14 0.0069924 4.03313e-07 4.12649e-05 1.00472e-11 1.95099e-05 3.42578e-09 2.54995e-05 8.94417e-11 0.00697289 3.99951e-07 1.57654e-05 9.91834e-11 169.452 0.0653798
15 0.00714726 2.13581e-07 4.23114e-05 2.48622e-10 1.96804e-05 1.17718e-09 2.61983e-05 1.15701e-09 0.00712758 2.12453e-07 1.61131e-05 1.40529e-09 168.921 0.0557469
16 0.00728881 2.27046e-07 4.41286e-05 3.94972e-10 1.98485e-05 1.21368e-09 2.7413e-05 7.36649e-10 0.00726896 2.25811e-07 1.67156e-05 1.13135e-09 165.172 0.0550222
17 0.00742893 3.20616e-07 4.28135e-05 4.19995e-11 2.00143e-05 9.9127e-10 2.66336e-05 1.46918e-09 0.00740892 3.19616e-07 1.61799e-05 1.51085e-09 173.519 0.0606265
18 0.00755601 3.42227e-07 4.22711e-05 3.25495e-10 2.01591e-05 1.18913e-09 2.63496e-05 1.78741e-09 0.00753585 3.41053e-07 1.59215e-05 1.46201e-09 178.751 0.0584885
19 0.00769545 2.1051e-07 4.41016e-05 4.86118e-10 2.0337e-05 6.02736e-10 2.75731e-05 1.07344e-09 0.00767511 2.11058e-07 1.65285e-05 5.87409e-10 174.494 0.0608846
20 0.00780968 2.71756e-07 4.1965e-05 1.04397e-09 2.046e-05 8.59241e-11 2.6262e-05 1.06844e-09 0.00778922 2.71895e-07 1.5703e-05 2.45383e-11 186.1 0.0542948
21 0.00792398 2.28518e-07 4.29801e-05 1.27213e-10 2.0615e-05 2.24134e-11 2.69679e-05 8.73356e-10 0.00790337 2.2847e-07 1.60121e-05 7.46124e-10 184.364 0.0687426
22 0.00806405 6.21918e-07 4.23938e-05 3.52059e-10 2.0743e-05 1.01616e-09 2.66428e-05 5.23716e-10 0.00804331 6.22921e-07 1.5751e-05 1.72039e-10 190.218 0.069768
23 0.00818261 3.07418e-07 4.33872e-05 2.6916e-10 2.08861e-05 1.15569e-10 2.73368e-05 7.50419e-10 0.00816173 3.07534e-07 1.60505e-05 1.01902e-09 188.595 0.0750225
24 0.00829087 5.24789e-07 4.27978e-05 1.54802e-11 2.10223e-05 2.31759e-09 2.69984e-05 9.66433e-10 0.00826985 5.27102e-07 1.57994e-05 9.51103e-10 193.722 0.0773706
25 0.00839076 2.53837e-07 4.21816e-05 1.54183e-10 2.11567e-05 1.2111e-09 2.66619e-05 6.74357e-10 0.0083696 2.55047e-07 1.55196e-05 8.28305e-10 198.92 0.0654656
26 0.00851144 1.81178e-07 4.23596e-05 1.71602e-11 2.12897e-05 1.23853e-10 2.68179e-05 1.86617e-09 0.00849015 1.80977e-07 1.55417e-05 1.88247e-09 200.933 0.0545908
27 0.00862688 4.6127e-07 4.25535e-05 5.84689e-10 2.1429e-05 3.93502e-10 2.69827e-05 6.72328e-10 0.00860545 4.61639e-07 1.55708e-05 8.76117e-11 202.73 0.0610918
28 0.00872601 1.03614e-07 4.27373e-05 1.03885e-09 2.1546e-05 9.57195e-10 2.71282e-05 1.34894e-09 0.00870446 1.02677e-07 1.56091e-05 3.10111e-10 204.179 0.0987747
29 0.00884469 4.02464e-07 4.29224e-05 4.05421e-10 2.16534e-05 1.06022e-09 2.72835e-05 6.67764e-10 0.00882303 4.01371e-07 1.56389e-05 2.62336e-10 206.063 0.0731462
30 0.00893339 2.30251e-07 4.39243e-05 1.72619e-10 2.1777e-05 1.12664e-09 2.79915e-05 8.20819e-10 0.00891161 2.31489e-07 1.59328e-05 9.93174e-10 203.382 0.054152
31 0.00902476 4.53156e-07 4.32515e-05 3.32295e-10 2.18884e-05 1.31416e-09 2.75875e-05 7.53587e-10 0.00900287 4.51843e-07 1.5664e-05 4.21393e-10 208.658 0.0618739
32 0.00911411 1.86447e-07 4.34412e-05 8.90379e-10 2.20134e-05 1.30578e-09 2.77384e-05 4.99545e-10 0.0090921 1.85223e-07 1.57028e-05 3.91692e-10 209.804 0.0900965
33 0.00922657 5.76854e-07 4.36037e-05 3.89561e-10 2.21405e-05 3.19119e-10 2.78925e-05 3.55658e-10 0.00920443 5.77137e-07 1.57111e-05 3.47247e-11 211.601 0.0690415
34 0.00930456 3.27253e-07 4.37601e-05 3.24781e-10 2.22346e-05 1.02121e-09 2.80432e-05 4.66408e-10 0.00928232 3.28354e-07 1.57169e-05 1.41797e-10 212.627 0.0643486
35 0.00940339 3.34457e-07 4.30662e-05 2.32151e-10 2.23509e-05 1.30257e-09 2.76061e-05 1.67321e-09 0.00938104 3.35769e-07 1.54601e-05 1.44124e-09 218.348 0.0855536
36 0.00949673 5.62494e-07 4.32379e-05 6.16319e-10 2.24543e-05 1.11468e-10 2.77824e-05 3.98502e-10 0.00947428 5.62564e-07 1.54555e-05 1.01397e-09 219.64 0.096148
37 0.0095983 5.69328e-07 4.33695e-05 2.78445e-10 2.25684e-05 1.4698e-10 2.79039e-05 6.695e-10 0.00957573 5.69236e-07 1.54656e-05 9.47722e-10 221.314 0.0552379
38 0.00967917 4.14026e-07 4.35263e-05 2.40133e-10 2.26868e-05 2.33447e-10 2.8029e-05 1.92525e-10 0.00965648 4.13797e-07 1.54973e-05 4.84902e-11 222.375 0.0725913
39 0.00975975 5.95024e-07 4.36601e-05 1.0219e-09 2.2785e-05 2.59998e-10 2.81562e-05 1.06957e-09 0.00973697 5.95245e-07 1.55039e-05 4.77768e-11 223.54 0.0687095
40 0.00982844 1.5547e-07 4.38108e-05 1.34597e-10 2.28947e-05 3.47413e-10 2.82982e-05 8.10839e-10 0.00980555 1.55791e-07 1.55126e-05 9.44773e-10 224.338 0.0591418
41 0.00992572 3.04687e-07 4.39638e-05 1.44409e-10 2.29778e-05 1.14518e-09 2.84134e-05 6.14578e-11 0.00990275 3.0583e-07 1.55504e-05 8.36643e-11 225.77 0.0692108
42 0.0100054 3.31223e-07 4.40967e-05 2.04704e-10 2.30713e-05 1.15471e-09 2.85476e-05 3.28092e-10 0.00998235 3.301e-07 1.55491e-05 1.2354e-10 226.898 0.0727215
43 0.0100891 5.07161e-07 4.42292e-05 2.12631e-10 2.31842e-05 3.4415e-10 2.86679e-05 3.25338e-10 0.0100659 5.07498e-07 1.55613e-05 1.12861e-10 228.108 0.0731753
44 0.0101812 1.89831e-07 4.43641e-05 1.58917e-10 2.32982e-05 1.83647e-09 2.87943e-05 1.92332e-10 0.0101579 1.91694e-07 1.55698e-05 3.35538e-11 229.491 0.057559
45 0.0102538 3.93451e-07 4.45042e-05 5.90564e-10 2.33837e-05 3.79113e-10 2.89153e-05 4.64548e-10 0.0102304 3.93838e-07 1.55889e-05 1.26957e-10 230.4 0.0828513
46 0.0103478 4.07543e-07 4.4631e-05 2.64449e-10 2.34736e-05 1.94223e-10 2.90282e-05 1.92565e-09 0.0103243 4.07355e-07 1.56028e-05 1.66131e-09 231.852 0.0557283
47 0.0104334 7.88796e-07 4.47708e-05 4.23136e-10 2.35706e-05 2.69435e-10 2.91475e-05 8.3215e-10 0.0104098 7.89078e-07 1.56232e-05 1.25432e-09 233.041 0.0735543
48 0.0105047 2.75639e-07 4.48675e-05 2.7865e-10 2.36595e-05 1.41469e-09 2.92759e-05 6.24138e-10 0.0104811 2.74288e-07 1.55917e-05 9.02472e-10 234.128 0.071066
49 0.0105761 4.49034e-07 4.49773e-05 2.78375e-10 2.37582e-05 1.51457e-09 2.93718e-05 8.89036e-10 0.0105523 4.47554e-07 1.56056e-05 1.1672e-09 235.143 0.0641975
50 0.0106484 1.10363e-07 4.51245e-05 4.59852e-10 2.38488e-05 8.11489e-10 2.9496e-05 8.83363e-10 0.0106245 1.11186e-07 1.56285e-05 1.34294e-09 235.978 0.0690935
51 0.0107271 0 4.52281e-05 0 2.39318e-05 0 2.96161e-05 0 0.0107032 0 1.5612e-05 0 237.179 0.0656921
52 0.0108019 0 4.53601e-05 0 2.40331e-05 0 2.97351e-05 0 0.0107779 0 1.5625e-05 0 238.138 0.0922569
53 0.0108633 0 4.54644e-05 0 2.41214e-05 0 2.98367e-05 0 0.0108391 0 1.56278e-05 0 238.94 0.0570867
54 0.0109201 0 4.55872e-05 0 2.41873e-05 0 2.99612e-05 0 0.0108959 0 1.5626e-05 0 239.543 0.0600316
55 0.0109919 0 4.56905e-05 0 2.42959e-05 0 3.00528e-05 0 0.0109676 0 1.56377e-05 0 240.574 0.0763082
56 0.0110644 0 4.5799e-05 0 2.43733e-05 0 3.0168e-05 0 0.0110401 0 1.5631e-05 0 241.587 0.0698542
57 0.011135 0 4.58894e-05 0 2.44749e-05 0 3.02651e-05 0 0.0111105 0 1.56243e-05 0 242.649 0.0674993
58 0.0112308 0 4.60187e-05 0 2.45489e-05 0 3.03739e-05 0 0.0112062 0 1.56449e-05 0 244.048 0.0727926
59 0.0113023 0 4.61191e-05 0 2.46315e-05 0 3.04834e-05 0 0.0112777 0 1.56358e-05 0 245.068 0.0780755
60 0.0113506 0 4.62067e-05 0 2.47246e-05 0 3.05808e-05 0 0.0113259 0 1.56259e-05 0 245.648 0.063908
61 0.0114424 0 4.63336e-05 0 2.47904e-05 0 3.06809e-05 0 0.0114176 0 1.56527e-05 0 246.958 0.0779109
62 0.0114921 0 4.64356e-05 0 2.48772e-05 0 3.07782e-05 0 0.0114672 0 1.56574e-05 0 247.485 0.0600286
63 0.0115535 0 4.6526e-05 0 2.49576e-05 0 3.08828e-05 0 0.0115285 0 1.56432e-05 0 248.323 0.063673
64 0.0116346 0 4.66689e-05 0 2.50407e-05 0 3.0988e-05 0 0.0116096 0 1.56809e-05 0 249.302 0.0827523
65 0.0116994 0 4.67654e-05 0 2.51221e-05 0 3.10921e-05 0 0.0116743 0 1.56733e-05 0 250.172 0.0638969
66 0.0117492 0 4.68469e-05 0 2.5187e-05 0 3.11831e-05 0 0.011724 0 1.56638e-05 0 250.799 0.0728896
67 0.0118329 0 4.70022e-05 0 2.52602e-05 0 3.1298e-05 0 0.0118076 0 1.57042e-05 0 251.753 0.101831
68 0.0118776 0 4.706e-05 0 2.53489e-05 0 3.1387e-05 0 0.0118523 0 1.5673e-05 0 252.394 0.0804433
69 0.0119455 0 4.71682e-05 0 2.54388e-05 0 3.14741e-05 0 0.01192 0 1.56942e-05 0 253.253 0.0717404
70 0.0120009 0 4.72932e-05 0 2.54905e-05 0 3.15826e-05 0 0.0119755 0 1.57107e-05 0 253.756 0.0669024
71 0.012059 0 4.73643e-05 0 2.55933e-05 0 3.16755e-05 0 0.0120334 0 1.56889e-05 0 254.603 0.104345
72 0.0121253 0 4.74708e-05 0 2.56565e-05 0 3.17575e-05 0 0.0120997 0 1.57134e-05 0 255.427 0.0552823
73 0.0122019 0 4.75774e-05 0 2.57281e-05 0 3.18555e-05 0 0.0121762 0 1.57219e-05 0 256.465 0.0731299
74 0.0122365 0 4.7653e-05 0 2.57976e-05 0 3.19486e-05 0 0.0122108 0 1.57045e-05 0 256.784 0.071636
75 0.0123002 0 4.77591e-05 0 2.59046e-05 0 3.20423e-05 0 0.0122743 0 1.57168e-05 0 257.548 0.0751775
76 0.0123704 0 4.78533e-05 0 2.59605e-05 0 3.21365e-05 0 0.0123444 0 1.57168e-05 0 258.506 0.0751072
77 0.0124221 0 4.79525e-05 0 2.60481e-05 0 3.22352e-05 0 0.0123961 0 1.57173e-05 0 259.05 0.0725428
78 0.0124858 0 4.80623e-05 0 2.61034e-05 0 3.232e-05 0 0.0124597 0 1.57423e-05 0 259.783 0.0841182
79 0.0125569 0 4.81345e-05 0 2.6172e-05 0 3.24097e-05 0 0.0125307 0 1.57247e-05 0 260.872 0.0756067
80 0.0125983 0 4.83284e-05 0 2.62474e-05 0 3.25765e-05 0 0.0125721 0 1.57519e-05 0 260.709 0.36179
81 0.0126575 0 4.83432e-05 0 2.63251e-05 0 3.26238e-05 0 0.0126312 0 1.57194e-05 0 261.828 0.100103
82 0.0127131 0 4.8428e-05 0 2.63716e-05 0 3.26945e-05 0 0.0126867 0 1.57335e-05 0 262.515 0.067178
83 0.0127703 0 4.85208e-05 0 2.64682e-05 0 3.27624e-05 0 0.0127438 0 1.57584e-05 0 263.192 0.0756335
84 0.0128148 0 4.85835e-05 0 2.65322e-05 0 3.28646e-05 0 0.0127882 0 1.57189e-05 0 263.768 0.0801795
85 0.0128822 0 4.87284e-05 0 2.65879e-05 0 3.29515e-05 0 0.0128556 0 1.57769e-05 0 264.368 0.0988624
86 0.0129427 0 4.87607e-05 0 2.66707e-05 0 3.30304e-05 0 0.012916 0 1.57303e-05 0 265.434 0.0720485
87 0.0130077 0 4.88859e-05 0 2.6731e-05 0 3.31249e-05 0 0.012981 0 1.5761e-05 0 266.084 0.0740444
88 0.0130598 0 4.8954e-05 0 2.68034e-05 0 3.3202e-05 0 0.013033 0 1.57519e-05 0 266.777 0.07034
89 0.0131164 0 4.90473e-05 0 2.68664e-05 0 3.32954e-05 0 0.0130895 0 1.57519e-05 0 267.423 0.0730633
90 0.0131808 0 4.91289e-05 0 2.69238e-05 0 3.33665e-05 0 0.0131539 0 1.57624e-05 0 268.29 0.0671641
91 0.0132046 0 4.92188e-05 0 2.70014e-05 0 3.34719e-05 0 0.0131776 0 1.5747e-05 0 268.284 0.103541
