#phi0.226271 Cg
6.44692e-01 0.00000e+00
6.48245e-01 8.42436e-03
6.51798e-01 1.72352e-02
6.55351e-01 2.63558e-02
6.58904e-01 3.58545e-02
6.62458e-01 4.56755e-02
6.66011e-01 5.59419e-02
6.69564e-01 6.65818e-02
6.73117e-01 7.76141e-02
6.76670e-01 8.90985e-02
6.80223e-01 1.01020e-01
6.83776e-01 1.13331e-01
6.87329e-01 1.26062e-01
6.90882e-01 1.39258e-01
6.94435e-01 1.52934e-01
6.97988e-01 1.67080e-01
7.01541e-01 1.81700e-01
7.05095e-01 1.96814e-01
7.08648e-01 2.12432e-01
7.12201e-01 2.28568e-01
7.15754e-01 2.45227e-01
7.19307e-01 2.62403e-01
7.22860e-01 2.80103e-01
7.26413e-01 2.98346e-01
7.29966e-01 3.17141e-01
7.33519e-01 3.36496e-01
7.37072e-01 3.56424e-01
7.40625e-01 3.76937e-01
7.44178e-01 3.98035e-01
7.47731e-01 4.19714e-01
7.51285e-01 4.41988e-01
7.54838e-01 4.64877e-01
7.58391e-01 4.88391e-01
7.61944e-01 5.12531e-01
7.65497e-01 5.37304e-01
7.69050e-01 5.62730e-01
7.72603e-01 5.88823e-01
7.76156e-01 6.15588e-01
7.79709e-01 6.43016e-01
7.83262e-01 6.71109e-01
7.86815e-01 6.99886e-01
7.90368e-01 7.29365e-01
7.93921e-01 7.59552e-01
7.97475e-01 7.90444e-01
8.01028e-01 8.22032e-01
8.04581e-01 8.54330e-01
8.08134e-01 8.87365e-01
8.11687e-01 9.21157e-01
8.15240e-01 9.55722e-01
8.18793e-01 9.91065e-01
8.22346e-01 1.02718e+00
8.25899e-01 1.06409e+00
8.29452e-01 1.10182e+00
8.33005e-01 1.14037e+00
8.36558e-01 1.17975e+00
8.40111e-01 1.21997e+00
8.43665e-01 1.26101e+00
8.47218e-01 1.30284e+00
8.50771e-01 1.34549e+00
8.54324e-01 1.38898e+00
8.57877e-01 1.43335e+00
8.61430e-01 1.47862e+00
8.64983e-01 1.52479e+00
8.68536e-01 1.57187e+00
8.72089e-01 1.61987e+00
8.75642e-01 1.66879e+00
8.79195e-01 1.71868e+00
8.82748e-01 1.76954e+00
8.86301e-01 1.82141e+00
8.89855e-01 1.87429e+00
8.93408e-01 1.92817e+00
8.96961e-01 1.98305e+00
9.00514e-01 2.03890e+00
9.04067e-01 2.09573e+00
9.07620e-01 2.15357e+00
9.11173e-01 2.21246e+00
9.14726e-01 2.27242e+00
9.18279e-01 2.33347e+00
9.21832e-01 2.39563e+00
9.25385e-01 2.45889e+00
9.28938e-01 2.52324e+00
9.32492e-01 2.58868e+00
9.36045e-01 2.65525e+00
9.39598e-01 2.72297e+00
9.43151e-01 2.79189e+00
9.46704e-01 2.86203e+00
9.50257e-01 2.93342e+00
9.53810e-01 3.00607e+00
9.57363e-01 3.07999e+00
9.60916e-01 3.15516e+00
9.64469e-01 3.23157e+00
9.68022e-01 3.30925e+00
9.71575e-01 3.38825e+00
9.75128e-01 3.46860e+00
9.78682e-01 3.55034e+00
9.82235e-01 3.63350e+00
9.85788e-01 3.71811e+00
9.89341e-01 3.80418e+00
9.92894e-01 3.89170e+00
9.96447e-01 3.98067e+00
1.00000e+00 4.07106e+00
